epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.274,1.139,3.10234,1.1429,0.4819,0.42954,0.3397,0.23458,1.08207,2.45667,1.06967,9.51929e-05,9.51929e-05,9.51929e-05
2,774.221,1.09608,1.71234,1.10866,0.45902,0.56671,0.40598,0.29269,1.01086,2.04723,1.06549,0.000177952,0.000177952,0.000177952
3,1146.84,1.08907,1.56723,1.11107,0.41355,0.57372,0.39684,0.2773,1.07813,2.02026,1.08072,0.000248126,0.000248126,0.000248126
4,1518.39,1.07705,1.4772,1.09432,0.43936,0.62103,0.42345,0.30677,1.02439,1.92237,1.07505,0.000229372,0.000229372,0.000229372
5,1890.49,1.02839,1.32034,1.07607,0.43796,0.65265,0.43908,0.31557,0.97906,1.68867,1.03075,0.000210496,0.000210496,0.000210496
6,2251.57,0.98466,1.14717,1.0421,0.45528,0.66918,0.44008,0.324,0.93368,1.60851,1.01261,0.00019162,0.00019162,0.00019162
7,2611.31,0.94344,1.07485,1.02517,0.47846,0.6793,0.44692,0.3303,0.9266,1.51306,1.00103,0.000172744,0.000172744,0.000172744
8,2971.36,0.90878,0.99643,1.00431,0.47662,0.70815,0.45603,0.33668,0.91102,1.48784,0.98695,0.000153868,0.000153868,0.000153868
9,3332.34,0.88318,0.92162,0.98856,0.46141,0.7281,0.45512,0.34122,0.87992,1.49723,0.98186,0.000134992,0.000134992,0.000134992
10,3692.28,0.85506,0.86188,0.96997,0.4663,0.74686,0.45825,0.34682,0.84666,1.46221,0.95936,0.000116116,0.000116116,0.000116116
11,4052.28,0.83173,0.81499,0.95905,0.47566,0.74475,0.45183,0.34192,0.83668,1.41909,0.95675,9.724e-05,9.724e-05,9.724e-05
12,4411.51,0.80775,0.76995,0.94888,0.47855,0.73815,0.45734,0.35106,0.82426,1.46362,0.94906,7.8364e-05,7.8364e-05,7.8364e-05
13,4771.21,0.77954,0.7277,0.93297,0.47576,0.73895,0.44699,0.34209,0.80844,1.41382,0.94804,5.9488e-05,5.9488e-05,5.9488e-05
14,5130.55,0.76179,0.67987,0.9242,0.47194,0.75195,0.4492,0.34827,0.7931,1.38777,0.93919,4.0612e-05,4.0612e-05,4.0612e-05
15,5492.95,0.74269,0.64808,0.91836,0.47689,0.74916,0.44813,0.348,0.78252,1.40901,0.93373,2.1736e-05,2.1736e-05,2.1736e-05
